name,braid_notation
12a_0020,"{-1,2,-1,2,3,3,3,-4,-4,3,-4,-2,-2,-3}"
12a_0047,"{1,-2,3,1,3,4,-2,4,5,3,5,-4,5}"
12a_0186,"{-1,2,-1,2,-3,-3,-3,-3,-2,-2,3,-4,3,-4}"
12a_0289,"{-1,2,-1,2,3,3,4,2,2,-3,2,2,3,-4,3,-4}"
12a_0366,"{-1,2,2,-3,-4,3,1,-4,-3,1,2,-3,2,-3}"
12a_0510,"{-1,2,2,1,1,2,-3,2,-3,-4,-4,-3,-3,4}"
12a_0555,"{-1,2,-3,4,-1,2,4,5,3,5,-4,3,-4,-4,-5}"
12a_0565,"{-1,2,-3,-1,-3,-3,-4,2,-4,-3,2,3,-4,-3}"
12a_0661,"{1,-2,1,2,-3,4,2,2,-3,-4,3,2,2,-3,4,4}"
12a_0784,"{-1,2,2,-3,-1,-1,2,2,3,-1,3,2,-1}"
12a_0821,"{-1,2,-1,-2,3,-2,3,4,-3,-2,4,3,-2,3}"
12a_0917,"{1,-2,1,-2,-2,-3,1,-3,1,-2,3,-2,1}"
12a_0955,"{-1,-2,-2,3,-2,-2,3,4,1,-3,1,4,3,2,-3,2}"
12a_0968,"{-1,2,3,-1,-2,3,2,-4,2,2,3,-4,-4,-4}"
12a_0993,"{1,-2,1,2,-3,2,-3,2,2,-3,2,-3,-3}"
12a_0996,"{1,1,2,-1,2,3,-2,-4,-3,2,5,4,3,3,4,4,5}"
12a_1074,"{-1,2,3,-4,-1,3,-2,3,-4,3,2,2,2,3}"
12a_1231,"{1,-2,1,-2,1,-2,-2,-2,1,1,-2,1}"
